Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Has Mortgage,Personal Loan
53,29,22,93943,2,0.4,1,0,0,0,1,0,False,0
36,6,25,95020,1,0.67,3,0,0,0,1,0,False,0
62,38,39,96003,4,2.2,1,0,1,0,1,0,False,0
46,21,159,94305,3,1.9,3,315,0,0,1,0,True,1
56,31,35,95211,3,0.1,2,114,0,0,0,0,True,0
43,18,58,95747,1,2.4,1,0,0,0,0,0,False,0
64,39,83,95616,3,1.8,2,0,0,0,1,0,False,0
54,28,53,92109,4,2.8,2,0,1,0,0,0,False,0
52,28,39,94606,2,0.8,1,0,0,0,1,0,False,0
34,9,141,95616,2,4.9,3,0,0,0,0,1,False,1
49,23,19,94521,4,0.6,3,0,0,0,1,1,False,0
42,17,29,94928,1,0.6,3,0,0,0,1,0,False,0
64,40,41,94305,4,1.2,2,0,0,0,1,0,False,0
27,3,94,92373,2,0.2,1,310,0,0,0,1,True,0
62,36,92,94801,2,0.7,2,0,0,0,1,0,False,0
34,10,29,93555,1,1.5,2,0,0,0,1,0,False,0
38,14,74,92182,2,0.0,1,0,1,0,1,0,False,0
31,5,21,94115,3,1.0,1,0,0,0,1,0,False,0
46,20,91,92521,4,2.6,3,0,0,0,0,0,False,0
51,25,119,93940,1,4.9,1,208,0,0,1,1,True,0
34,9,64,92346,2,0.1,1,224,0,0,1,1,True,0
54,24,63,92606,3,1.4,3,138,0,0,1,1,True,0
53,29,41,94080,2,0.8,1,0,0,0,1,0,False,0
48,24,162,91355,4,3.3,2,446,0,1,1,0,True,1
50,26,23,92028,4,0.2,1,0,0,0,0,1,False,0
43,19,82,95758,2,1.8,2,0,0,0,1,1,False,0
43,18,89,93407,3,0.5,3,0,0,0,1,1,False,0
62,37,162,95051,1,1.3,1,0,0,0,1,0,False,0
32,8,22,94583,4,0.7,2,0,0,0,1,1,False,0
26,0,42,92009,4,1.3,3,153,0,0,1,0,True,0
33,7,83,95211,1,2.5,1,0,1,1,1,1,False,0
61,36,29,93065,1,1.3,1,0,0,0,0,0,False,0
34,8,60,94015,4,2.2,2,0,0,0,0,1,False,0
28,3,170,95014,1,0.1,3,0,0,0,0,0,False,1
51,27,93,92154,1,2.7,1,0,0,0,1,0,False,0
29,3,53,94005,4,1.8,3,0,0,0,1,0,False,0
33,8,155,92717,1,7.4,3,0,0,0,0,0,False,1
43,19,52,95054,4,2.2,2,0,0,0,0,0,False,0
41,17,165,91311,2,7.6,1,157,0,0,0,0,True,0
51,27,12,94608,4,1.0,1,0,0,0,1,0,False,0
27,0,33,90089,4,1.0,3,0,0,0,0,0,False,0
52,26,194,94305,1,1.7,1,0,0,0,1,0,False,0
43,17,55,90266,1,0.2,1,0,0,0,1,0,False,0
63,37,113,94611,4,1.7,3,0,0,0,1,1,False,0
53,26,12,92672,2,1.0,2,0,0,0,0,1,False,0
51,27,39,92709,2,0.8,1,182,0,0,0,1,True,0
49,23,134,90095,2,6.3,1,0,0,0,1,0,False,0
28,4,34,92677,1,1.8,2,0,0,0,1,0,False,0
28,3,149,92121,1,0.8,1,0,0,0,1,0,False,0
54,29,29,90071,1,1.5,2,97,0,0,1,0,True,0
41,15,185,91775,1,3.6,2,0,0,0,0,0,False,1
26,1,54,91709,2,1.6,3,0,1,0,0,0,False,0
40,16,125,91304,2,1.9,1,0,0,0,0,1,False,0
44,17,69,90095,3,2.67,2,0,0,0,0,0,False,0
64,39,98,95678,3,1.8,2,80,0,0,1,0,True,0
39,15,89,92126,2,1.9,1,0,0,0,0,0,False,0
60,30,31,95060,1,1.5,3,0,0,0,1,0,False,0
53,28,41,93117,2,0.6,3,0,1,0,0,0,False,0
58,34,68,94305,2,2.8,1,113,0,0,0,0,True,0
26,2,82,91950,2,2.5,1,199,0,0,0,0,True,0
30,6,118,94534,2,2.8,2,0,0,0,0,0,False,1
31,5,42,93010,2,2.0,3,0,0,0,1,0,False,0
49,24,130,92677,4,1.1,1,281,0,1,1,0,True,1
53,27,75,94303,1,1.9,2,0,0,0,1,0,False,0
47,23,12,92110,4,0.2,1,102,0,0,0,1,True,0
46,22,73,92648,2,1.7,1,216,0,0,1,0,True,0
25,-1,139,93106,2,2.0,1,0,0,0,0,1,False,0
61,35,60,92831,1,2.8,2,0,0,0,1,1,False,0
26,1,8,94550,2,0.9,3,0,0,0,0,1,False,0
36,11,64,91355,4,2.1,3,0,0,0,0,0,False,0
61,37,31,92374,3,0.4,2,0,0,0,0,1,False,0
30,4,40,91605,1,0.3,1,0,0,1,1,1,False,0
48,23,48,94086,1,0.3,1,0,0,0,0,0,False,0
48,22,42,94611,1,1.2,2,0,0,0,0,0,False,0
40,14,33,94025,2,1.4,3,0,0,0,1,1,False,0
40,16,19,92028,4,0.4,2,0,0,0,1,1,False,0
59,35,14,90840,4,0.7,1,0,0,0,1,0,False,0
53,29,144,92697,2,6.8,1,0,0,0,1,0,False,0
23,-1,149,91709,1,6.33,1,305,0,0,0,1,True,0
43,19,132,90089,1,5.0,1,0,0,0,0,0,False,0
35,9,105,90064,2,4.5,3,0,0,0,0,0,False,0
46,20,19,94105,3,0.5,2,97,1,0,1,0,True,0
57,31,45,94305,3,1.4,1,198,0,0,1,0,True,0
57,27,64,92007,3,2.0,3,142,0,0,1,0,True,0
63,37,30,92054,2,1.0,3,159,0,0,1,0,True,0
56,30,21,94542,2,0.7,2,0,0,0,1,0,False,0
46,22,89,94303,1,2.7,1,0,1,1,1,1,False,0
32,7,82,94305,1,2.6,2,240,0,1,1,1,True,0
55,29,131,92675,2,2.7,1,0,1,0,0,0,False,0
62,36,63,93109,1,2.5,3,0,0,0,0,0,False,0
57,31,30,95070,3,1.4,1,0,0,0,0,0,False,0
54,27,120,92672,4,3.0,2,431,0,0,1,0,True,1
43,18,21,95037,2,1.4,2,0,0,0,1,1,False,0
27,3,125,95521,2,0.6,1,0,0,0,0,0,False,0
39,15,125,90250,1,3.5,1,0,0,0,1,1,False,0
35,9,84,94709,4,2.2,2,0,0,0,1,0,False,0
49,23,125,94022,1,7.3,1,0,0,0,0,0,False,0
43,19,45,91773,3,0.6,2,0,0,0,0,0,False,0
31,6,62,95630,1,1.0,1,0,1,0,1,0,False,0
36,12,35,95812,4,0.4,2,0,0,0,1,0,False,0
31,7,35,94025,1,1.33,1,131,0,0,0,1,True,0
26,2,85,95020,2,2.5,1,0,0,0,0,0,False,0
45,21,38,93943,3,0.6,2,148,0,0,1,0,True,0
58,34,41,95833,3,1.5,1,0,0,0,1,1,False,0
60,36,141,90277,2,2.1,1,0,0,0,1,1,False,0
23,-1,73,92120,4,2.6,1,0,0,0,1,0,False,0
47,21,93,91604,2,0.8,3,107,0,0,0,0,True,0
27,1,141,95135,4,5.1,3,354,0,0,0,0,True,1
49,25,114,91380,1,2.5,3,0,0,0,1,0,False,1
52,26,180,95831,1,1.7,1,550,0,0,1,0,True,0
34,8,29,90025,2,2.0,3,0,0,0,1,1,False,0
48,23,161,96003,4,7.9,3,310,0,0,0,0,True,1
28,2,41,93118,3,1.1,2,161,0,0,1,0,True,0
43,18,179,94108,3,1.2,1,0,1,1,1,0,False,1
33,6,78,90250,4,2.0,2,119,1,0,1,0,True,0
48,23,35,93943,1,0.1,1,0,1,0,1,0,False,0
59,35,180,96008,2,6.5,2,0,1,1,1,1,False,1
59,33,83,94701,3,4.4,1,0,0,0,1,0,False,0
42,16,25,94304,2,0.8,3,0,0,0,0,1,False,0
26,1,80,95616,1,0.8,2,150,0,0,0,0,True,0
46,20,82,90230,2,1.7,2,0,0,0,1,1,False,0
45,19,34,90089,3,1.5,1,0,1,0,0,0,False,0
62,38,50,94539,2,1.1,1,0,0,0,0,1,False,0
48,24,14,94305,4,1.0,1,0,0,0,1,0,False,0
29,5,44,95819,3,0.1,2,0,0,0,1,1,False,0
24,0,38,93555,1,1.0,3,0,0,0,1,0,False,0
30,5,85,92624,4,1.8,3,0,0,0,1,0,False,0
51,26,20,92131,2,0.0,1,0,0,0,0,0,False,0
65,41,105,92612,1,3.0,2,282,1,1,1,0,True,1
46,22,53,95616,4,1.9,1,187,0,0,0,0,True,0
38,12,59,93401,2,2.4,2,0,0,0,0,0,False,0
58,32,113,93943,2,3.8,2,119,0,1,1,1,True,1
64,40,8,94110,2,0.3,3,0,0,0,1,0,False,0
29,3,92,94539,2,1.3,1,287,0,0,1,0,True,0
37,12,193,92780,1,8.6,1,0,0,0,0,0,False,0
57,31,58,91604,1,0.2,1,177,0,0,1,0,True,0
35,11,85,92154,4,0.1,2,131,0,0,0,0,True,0
51,27,155,94720,2,0.4,1,107,0,0,0,1,True,0
32,7,143,91365,3,2.9,3,0,0,0,1,0,False,1
50,24,152,92220,1,7.3,1,0,0,0,1,0,False,0
49,25,55,92103,4,0.1,3,0,0,0,1,0,False,0
46,21,85,92867,1,0.2,2,0,1,1,1,1,False,0
40,14,63,94025,3,0.5,3,221,0,0,1,0,True,0
32,7,54,96008,4,1.3,1,0,1,0,1,0,False,0
55,31,23,95616,2,0.3,1,0,0,0,1,1,False,0
35,9,40,93943,3,0.9,1,0,0,0,1,0,False,0
50,24,150,94551,1,7.3,1,0,0,0,1,1,False,0
36,10,20,90033,4,0.3,1,97,0,0,1,0,True,0
43,18,19,92325,2,0.3,2,0,0,0,1,0,False,0
49,23,100,95403,2,6.3,1,0,0,0,0,0,False,0
47,21,42,95841,4,0.1,1,0,0,0,1,1,False,0
61,36,128,94550,1,2.6,1,0,0,0,1,0,False,0
45,18,81,95133,3,2.67,2,251,0,0,1,1,True,0
48,23,108,92120,2,3.8,3,0,0,0,0,1,False,0
46,22,83,94501,4,1.4,2,0,0,0,1,1,False,0
32,7,83,94302,2,2.5,1,148,1,0,1,0,True,0
52,26,54,90049,2,1.5,2,0,0,0,0,1,False,0
52,28,44,90747,3,1.9,2,0,0,0,0,1,False,0
52,28,38,94302,2,0.8,1,0,0,0,0,1,False,0
45,20,55,92606,4,1.9,3,164,1,0,0,0,True,0
50,24,29,93023,4,0.1,1,0,0,0,0,0,False,0
42,18,164,93407,1,1.3,3,0,1,1,1,1,False,1
52,28,178,92647,3,5.4,3,147,0,0,1,0,True,1
37,13,73,95758,4,2.4,1,0,0,0,0,0,False,0
64,39,82,94025,4,3.4,2,0,0,0,1,0,False,0
39,12,23,90024,3,1.0,2,0,0,0,1,1,False,0
33,7,101,93727,1,2.7,2,233,0,0,0,0,True,0
27,0,38,95929,4,1.0,3,154,0,0,1,0,True,0
27,1,25,94920,4,0.3,2,0,0,0,1,1,False,0
24,0,44,90089,4,1.6,1,180,0,0,1,0,True,0
45,21,151,90024,2,3.3,1,328,0,0,0,0,True,0
60,35,108,94904,1,0.9,1,0,1,0,0,0,False,0
51,25,80,92373,1,4.9,1,0,0,0,0,0,False,0
45,21,63,95621,1,0.8,3,245,0,0,1,1,True,0
63,37,90,94105,4,1.9,2,106,1,0,1,0,True,0
34,10,81,94002,4,3.4,1,0,0,0,1,0,False,0
35,5,108,90630,2,2.75,3,0,1,0,0,0,False,1
30,4,83,91007,2,1.5,3,199,0,0,0,1,True,0
36,10,21,92084,3,0.1,2,0,0,0,0,0,False,0
62,37,125,94801,1,1.0,3,0,0,0,1,0,False,1
59,34,103,91360,1,2.6,1,0,0,0,1,0,False,0
37,12,72,91380,4,0.7,3,0,0,0,0,0,False,0
46,20,105,90089,4,3.2,1,0,0,0,0,0,False,1
47,22,122,90037,1,5.1,3,163,1,0,0,0,True,1
46,20,72,92009,2,1.7,2,75,0,0,1,0,True,0
39,15,41,95035,1,2.0,2,176,0,0,1,0,True,0
27,1,91,92173,2,0.2,1,0,0,0,1,0,False,0
30,4,39,91105,1,1.5,1,0,0,0,0,1,False,0
43,18,140,95616,1,7.0,1,205,0,0,1,0,True,0
38,13,140,90210,4,0.5,1,0,0,0,0,0,False,1
51,27,12,92192,4,0.5,2,78,1,0,1,0,True,0
39,15,139,91801,1,3.4,1,353,0,0,1,0,True,0
39,13,78,95616,1,2.8,3,0,0,0,0,0,False,0
34,10,83,95060,2,2.0,2,148,0,0,0,0,True,0
40,14,61,94612,3,0.5,3,0,0,0,1,0,False,0
28,2,9,95014,1,0.1,2,0,0,0,1,0,False,0
57,32,39,92182,4,0.9,1,147,0,0,0,0,True,0
45,21,128,94305,1,4.7,1,0,0,0,0,0,False,0
47,23,33,90095,1,1.0,1,0,0,0,1,1,False,0
59,35,168,95521,4,4.1,2,0,0,0,1,0,False,1
57,32,34,92507,2,2.0,2,0,1,0,0,0,False,0
32,7,134,93108,2,3.1,1,0,0,0,0,0,False,0
54,29,44,91301,2,2.3,3,0,0,0,1,0,False,0
46,22,144,93611,2,3.3,1,0,0,0,1,1,False,0
54,29,48,91709,4,1.8,3,0,0,0,1,0,False,0
49,23,121,90032,1,4.9,1,0,0,0,1,0,False,0
64,39,129,94002,1,2.5,1,0,0,0,1,0,False,0
43,19,118,91304,2,3.3,1,0,0,0,0,1,False,0
56,32,98,91355,3,3.9,3,0,0,0,0,0,False,1
26,1,24,96651,2,0.9,3,123,0,0,0,1,True,0
28,4,155,90019,1,6.33,1,0,0,0,0,0,False,0
50,24,130,95833,1,1.0,1,0,0,0,0,0,False,0
55,31,25,94720,2,0.2,1,0,0,0,0,0,False,0
58,32,19,90405,4,0.7,3,0,0,0,0,0,False,0
41,15,69,92507,1,1.5,3,78,0,0,1,0,True,0
56,30,15,92093,4,0.7,3,102,0,0,0,0,True,0
46,19,82,91365,3,2.67,2,0,0,0,0,0,False,0
58,32,43,93943,3,1.4,1,0,0,0,0,1,False,0
29,4,115,92717,1,1.9,1,0,0,0,0,0,False,0
56,30,113,92704,2,2.7,1,352,0,0,0,1,True,0
38,14,111,92028,2,6.1,1,326,0,0,0,0,True,0
42,17,14,91768,2,0.1,2,0,0,0,1,0,False,0
56,30,90,94402,1,1.9,2,0,0,0,1,0,False,0
61,36,29,90210,2,0.5,2,0,0,0,1,0,False,0
50,26,24,94305,4,0.5,2,0,0,0,0,1,False,0
30,6,41,90095,1,2.4,2,0,0,0,1,0,False,0
48,24,29,90509,1,1.0,1,0,0,0,0,0,False,0
40,16,59,94305,4,2.67,1,0,0,0,1,0,False,0
27,3,109,93023,2,2.5,1,0,0,0,1,0,False,0
53,29,33,94591,3,1.9,2,144,0,0,0,0,True,0
50,24,83,92333,3,3.0,2,0,0,0,0,1,False,0
58,32,145,94920,2,0.5,1,119,0,0,1,0,True,0
32,7,123,92407,2,2.9,2,0,0,0,1,0,False,1
63,39,58,94112,1,0.0,2,0,0,0,1,0,False,0
25,0,44,94545,4,0.6,2,0,0,0,1,1,False,0
55,25,58,95023,4,2.0,3,219,0,0,0,1,True,0
61,35,59,90840,4,1.7,2,0,0,0,1,1,False,0
60,35,135,92612,3,0.3,3,0,0,0,1,0,False,1
32,6,25,96001,3,1.0,1,0,0,0,1,0,False,0
56,30,43,90401,2,0.3,1,0,1,0,0,0,False,0
46,22,80,95747,4,2.0,3,0,0,0,1,0,False,0
41,17,154,92697,1,1.7,1,0,0,0,0,1,False,0
37,12,179,91768,1,8.6,1,0,0,0,1,0,False,0
29,5,44,95819,1,0.2,3,0,0,0,1,0,False,0
33,9,14,95133,3,0.9,3,114,0,0,0,0,True,0
44,18,68,92673,4,2.9,1,0,1,0,0,1,False,0
42,18,50,95126,4,2.2,2,0,0,0,0,0,False,0
63,37,185,94309,2,7.9,2,358,0,0,1,0,True,1
42,18,83,96001,4,2.0,3,0,0,0,1,0,False,0
48,22,59,90086,4,2.6,1,0,0,0,1,1,False,0
41,16,98,95192,3,1.0,1,296,0,0,0,0,True,0
57,32,165,94720,4,2.7,3,0,0,0,1,0,False,1
52,28,149,94043,2,6.8,1,0,0,0,1,0,False,0
31,7,10,92354,1,0.5,3,81,0,0,1,0,True,0
61,35,113,91741,2,2.8,1,0,0,0,0,0,False,0
45,15,202,91380,3,10.0,3,0,0,0,0,0,False,1
47,22,24,90717,4,0.4,2,142,0,0,1,0,True,0
51,27,68,91711,1,1.6,3,0,0,0,1,0,False,0
62,37,58,91320,4,1.7,1,0,0,0,1,0,False,0
27,0,30,93107,4,1.0,3,0,0,0,1,1,False,0
30,4,38,90245,1,1.9,3,0,0,0,1,0,False,0
55,31,34,94305,3,1.5,1,101,0,0,1,0,True,0
59,35,39,92028,1,1.8,3,0,0,0,1,0,False,0
37,13,79,91330,1,3.6,2,104,0,0,1,0,True,0
50,24,133,90025,4,1.4,2,342,0,0,0,1,True,1
48,22,98,94115,2,6.3,1,0,0,0,0,0,False,0
31,7,18,91711,1,0.4,3,0,0,0,0,0,False,0
31,7,18,94720,1,0.4,3,0,0,0,1,0,False,0
57,31,82,95032,2,2.0,1,83,0,0,0,1,True,0
46,22,164,94122,2,7.6,1,0,0,1,1,1,False,0
24,-1,75,93014,4,0.2,1,0,0,0,1,0,False,0
50,23,98,92068,3,2.0,2,0,0,0,0,0,False,0
48,24,79,94542,3,0.7,1,0,0,0,1,1,False,0
35,9,103,95120,2,4.5,3,0,0,0,1,0,False,0
37,12,128,91342,2,3.9,1,0,0,0,1,1,False,0
45,20,59,95008,1,2.4,1,0,1,1,1,0,False,0
34,10,41,94102,1,1.33,1,0,0,0,0,1,False,0
52,28,21,94025,4,0.5,2,0,0,0,1,0,False,0
29,2,31,91775,4,1.5,2,0,0,0,0,1,False,0
49,25,30,95616,4,0.2,1,0,0,1,1,1,False,0
46,21,30,94301,4,1.9,3,0,0,0,1,0,False,0
30,5,38,94542,4,0.8,1,129,0,0,1,1,True,0
61,35,99,94085,1,4.8,3,255,0,0,0,1,True,1
63,33,41,94234,4,1.67,3,0,0,0,1,0,False,0
59,34,145,95125,4,1.8,1,198,0,0,1,0,True,1
60,34,64,94550,2,1.7,3,236,1,0,1,0,True,0
63,38,52,94720,2,2.8,1,0,0,0,1,0,False,0
61,36,18,95010,1,1.3,1,0,0,0,0,0,False,0
47,22,33,91105,1,1.4,3,0,0,0,1,0,False,0
32,5,41,92008,2,1.0,2,112,1,0,1,0,True,0
47,23,94,92029,1,4.7,1,0,0,0,1,1,False,0
24,0,44,90638,3,0.1,2,0,0,0,0,0,False,0
40,16,104,91730,1,3.4,1,249,0,0,0,0,True,0
38,8,23,95207,1,0.67,3,0,0,0,0,0,False,0
